Date,Close/Last,Open,High,Low
10/07/2024,17923.90,18080.11,18096.33,17900.04
10/04/2024,18137.85,18130.42,18145.28,17952.30
10/03/2024,17918.48,17859.49,18011.25,17826.42
10/02/2024,17925.12,17867.12,17978.57,17767.79
10/01/2024,17910.36,18154.94,18162.72,17779.77
09/30/2024,18189.17,18069.83,18198.16,17997.56
09/27/2024,18119.59,18228.78,18238.28,18069.18
09/26/2024,18190.29,18327.34,18327.34,18071.74
09/25/2024,18082.21,18050.36,18155.03,18040.62
09/24/2024,18074.52,18046.44,18091.96,17863.38
09/23/2024,17974.27,17994.91,18021.58,17936.37
09/20/2024,17948.32,17999.35,18024.34,17835.64
09/19/2024,18013.98,17980.89,18099.93,17909.75
09/18/2024,17573.30,17663.38,17832.70,17556.42
09/17/2024,17628.06,17707.02,17781.74,17544.64
09/16/2024,17592.13,17573.70,17618.40,17480.66
09/13/2024,17683.98,17575.26,17719.14,17564.61
09/12/2024,17569.68,17413.89,17605.72,17338.32
09/11/2024,17395.53,17061.41,17420.23,16787.84
09/10/2024,17025.88,17025.49,17036.07,16801.13
09/09/2024,16884.60,16835.67,16923.28,16732.83
09/06/2024,16690.83,17137.62,17166.54,16668.57
09/05/2024,17127.66,17063.24,17295.58,17035.07
09/04/2024,17084.30,17015.71,17232.65,16984.67
09/03/2024,17136.30,17585.45,17585.45,17057.79
08/30/2024,17713.62,17650.49,17720.37,17498.79
08/29/2024,17516.43,17610.57,17789.21,17482.60
08/28/2024,17556.03,17738.80,17759.94,17439.40
08/27/2024,17754.82,17655.52,17789.72,17573.37
08/26/2024,17725.76,17867.85,17909.09,17645.69
08/23/2024,17877.79,17772.73,17941.27,17700.27
08/22/2024,17619.35,17993.72,18017.69,17589.15
08/21/2024,17918.99,17840.51,17963.07,17790.98
08/20/2024,17816.94,17849.09,17932.53,17758.20
08/19/2024,17876.77,17649.74,17877.44,17585.58
08/16/2024,17631.72,17516.40,17674.65,17502.82
08/15/2024,17594.50,17394.55,17602.72,17375.41
08/14/2024,17192.60,17227.64,17260.73,17032.17
08/13/2024,17187.61,16944.74,17192.79,16943.95
08/12/2024,16780.61,16793.64,16895.79,16699.39
08/09/2024,16745.30,16636.52,16789.22,16574.57
08/08/2024,16660.02,16408.27,16694.25,16262.93
08/07/2024,16195.81,16622.31,16709.81,16179.53
08/06/2024,16366.85,16261.36,16620.31,16137.65
08/05/2024,16200.08,15712.53,16453.46,15708.54
08/02/2024,16776.16,16780.45,16920.63,16582.79
08/01/2024,17194.15,17647.03,17791.58,17051.42
07/31/2024,17599.40,17499.23,17693.98,17438.60
07/30/2024,17147.42,17424.10,17468.56,17015.38
07/29/2024,17370.20,17444.39,17535.32,17299.83
07/26/2024,17357.88,17331.95,17454.57,17239.99
07/25/2024,17181.72,17352.64,17544.46,17033.96
07/24/2024,17342.41,17733.91,17747.06,17313.52
07/23/2024,17997.35,17982.74,18128.38,17968.10
07/22/2024,18007.57,17923.65,18040.99,17839.76
07/19/2024,17726.94,17835.59,17935.14,17691.43
07/18/2024,17871.22,18119.15,18130.87,17759.54
07/17/2024,17996.92,18188.19,18223.24,17972.87
07/16/2024,18509.34,18534.27,18576.83,18386.07
07/15/2024,18472.57,18485.91,18641.53,18397.83
07/12/2024,18398.45,18303.64,18556.73,18293.60
07/11/2024,18283.41,18659.25,18671.07,18238.78
07/10/2024,18647.45,18512.09,18655.19,18467.58
07/09/2024,18429.29,18465.02,18511.89,18381.60
07/08/2024,18403.74,18371.86,18416.94,18342.60
07/05/2024,18352.76,18200.60,18366.31,18197.14
07/03/2024,18188.30,18016.12,18188.30,18016.12
07/02/2024,18028.76,17808.04,18031.29,17802.24
07/01/2024,17879.30,17773.90,17894.28,17657.64
06/28/2024,17732.60,17891.10,18035.00,17723.83
06/27/2024,17858.68,17793.95,17892.78,17765.42
06/26/2024,17805.16,17697.26,17813.55,17687.07
06/25/2024,17717.65,17572.16,17734.34,17546.63
06/24/2024,17496.82,17640.26,17730.12,17494.02
06/21/2024,17689.36,17681.01,17787.34,17620.57
06/20/2024,17721.59,17913.94,17936.79,17650.69
06/18/2024,17862.23,17856.76,17890.52,17796.88
06/17/2024,17857.02,17697.30,17935.99,17636.36
06/14/2024,17688.88,17621.18,17693.43,17590.80
06/13/2024,17667.56,17715.26,17741.80,17566.32
